county_fips,bea_county_name,state_name,total_gdp_thousands,engine_type,engine_label,engine_share,dominant_industry,dominant_industry_share,specialized_industry,specialization_gap,agriculture_share,mining_share,construction_share,manufacturing_share,wholesale_share,retail_share,transportation_share,information_share,finance_real_estate_share,professional_business_share,education_health_share,leisure_hospitality_share,other_services_share,government_share,knowledge_command_share,resource_share,manufacturing_share,trade_logistics_share,education_health_share,leisure_amenity_share,government_share
01001,"Autauga, AL",Alabama,2251415.0,knowledge_command,Knowledge / command,21.074879575733483,finance_real_estate,15.296469109426738,manufacturing,4.3300706673106255,1.9268326807807534,0.2697414736954315,5.606029985586842,14.162559990050703,3.6883026896418474,7.879133789194795,1.2045313724924103,1.7511653782176986,15.296469109426738,4.027245088089046,5.394518558328873,3.5583399773031625,3.412875902487991,10.448362474266183,21.074879575733483,2.1965741544761848,14.162559990050703,12.771967851329052,5.394518558328873,3.5583399773031625,10.448362474266183
01003,"Baldwin, AL",Alabama,13446245.0,knowledge_command,Knowledge / command,39.02430752972298,finance_real_estate,29.841424129933674,finance_real_estate,8.40121588099884,0.12923310559936993,0.09928422395992338,9.504214745454957,5.830579466609452,4.59662902170829,11.137369577900746,1.796018144842668,2.120852327173869,29.841424129933674,7.062031072615441,7.643881247143719,7.630717720820942,3.2119524819010805,9.07964268091203,39.02430752972298,0.22851732955929333,5.830579466609452,17.530016744451704,7.643881247143719,7.630717720820942,9.07964268091203
01005,"Barbour, AL",Alabama,985771.0,manufacturing,Manufacturing,25.257590251691315,manufacturing,25.257590251691315,manufacturing,15.425100928951238,8.934732305981816,0.8805290478214514,2.678512555147189,25.257590251691315,,7.50580002860705,5.280232427206724,,13.776830521490286,3.0514186357683477,6.537319519442142,3.3882108522161842,,14.829610528205842,16.828249157258632,9.815261353803267,25.257590251691315,12.786032455813775,6.537319519442142,3.3882108522161842,14.829610528205842
01007,"Bibb, AL",Alabama,642360.0,government,Government,19.166355314776762,government,19.166355314776762,construction,9.4646325579089,1.1477987421383646,0.793791643315275,13.920231645806089,13.16162276605019,,7.781462108474998,4.124634161529361,0.2856653589887291,,2.4839653776698425,6.935519023600473,1.8109782676380846,3.2712186312970917,19.166355314776762,2.7696307366585717,1.9415903854536396,13.16162276605019,11.906096270004358,6.935519023600473,1.8109782676380846,19.166355314776762
01009,"Blount, AL",Alabama,1534975.0,government,Government,13.385625173048421,government,13.385625173048421,agriculture,9.08514281296299,10.005635270932752,0.08651606703692243,7.151256535122721,10.213521392856562,4.2594179058290855,7.716738057623089,,1.6535122721868436,,3.7273571230801807,4.7849639244938835,2.679522467792635,5.0543494193716505,13.385625173048421,5.380869395267024,10.092151337969675,10.213521392856562,11.976155963452175,4.7849639244938835,2.679522467792635,13.385625173048421
01011,"Bullock, AL",Alabama,375414.0,knowledge_command,Knowledge / command,24.227386298859393,finance_real_estate,16.278295428513587,agriculture,9.93019504968845,10.850687507658211,0.013318629566292145,,0.0,,5.4347999808211735,,,16.278295428513587,7.949090870345805,7.618256111919108,1.609423196790743,,15.185901431486307,24.227386298859393,10.864006137224504,0.0,5.4347999808211735,7.618256111919108,1.609423196790743,15.185901431486307
01013,"Butler, AL",Alabama,903761.0,manufacturing,Manufacturing,25.01557380767703,manufacturing,25.01557380767703,manufacturing,15.183084484936952,10.285351990183246,0.0,3.5803713592421,25.01557380767703,2.176349720777949,8.444157249538318,6.168666273494873,1.7524544652845166,13.598064089952985,5.500790585121509,6.651426649302195,4.227666385250083,2.3481871866566495,9.081383241808398,20.85130914035901,10.285351990183246,25.01557380767703,16.789173243811142,6.651426649302195,4.227666385250083,9.081383241808398
01015,"Calhoun, AL",Alabama,6287502.0,manufacturing,Manufacturing,23.231213286293983,manufacturing,23.231213286293983,manufacturing,13.398723963553905,0.64186063081968,0.015268384805285152,2.8319354808952744,23.231213286293983,7.00647093233529,8.776458440887971,1.6921346506132324,1.695140613871773,13.847057225588157,5.458352140484409,5.315385983177421,3.7606190821092387,2.29677859347003,22.52846997106323,21.00054997994434,0.6571290156249652,23.231213286293983,17.475064023836495,5.315385983177421,3.7606190821092387,22.52846997106323
01017,"Chambers, AL",Alabama,1240169.0,manufacturing,Manufacturing,34.52755229327616,manufacturing,34.52755229327616,manufacturing,24.695062970536082,3.3967144800426397,0.0,2.783975409803019,34.52755229327616,1.3680393559264905,7.806113521624876,1.8368464298010996,1.5681733699197449,16.934385555517032,4.883286068269728,4.326668381486717,3.0321673900895765,2.284849887394379,13.731676892423533,23.385844993706506,3.3967144800426397,34.52755229327616,11.010999307352465,4.326668381486717,3.0321673900895765,13.731676892423533
01019,"Cherokee, AL",Alabama,796657.0,government,Government,14.873778803173762,government,14.873778803173762,agriculture,10.175625444716086,11.096117902685847,0.0,3.7764056551313803,13.154343713794017,3.210792097477334,10.13347023876022,,0.8209304631729841,,4.898971577479392,4.841983438292766,2.6335047580075237,3.0110825612528354,14.873778803173762,5.719902040652376,11.096117902685847,13.154343713794017,13.344262336237554,4.841983438292766,2.6335047580075237,14.873778803173762
