county_fips,bea_county_name,state_name,acs_population,qol_raw_score,qol_score_0_100,qol_tier,qol_components_used
01001,"Autauga, AL",Alabama,59285.0,0.24338263001647448,62.55678131083712,High,4
01003,"Baldwin, AL",Alabama,239945.0,0.5794865630689316,76.76833225178456,High,4
01005,"Barbour, AL",Alabama,24757.0,-1.3062554691239312,5.061648280337443,Very low,4
01007,"Bibb, AL",Alabama,22152.0,-1.1872325953241734,7.300454250486697,Very low,4
01009,"Blount, AL",Alabama,59292.0,-0.5842943446002261,24.5619727449708,Low,4
01011,"Bullock, AL",Alabama,10157.0,-1.5242488145854383,1.3303049967553537,Very low,4
01013,"Butler, AL",Alabama,18807.0,-1.1419573192533667,8.1765087605451,Very low,4
01015,"Calhoun, AL",Alabama,116141.0,-0.5102790754026651,27.319922128487995,Low,4
01017,"Chambers, AL",Alabama,34450.0,-0.8489069867398944,16.125892277741727,Very low,4
01019,"Cherokee, AL",Alabama,25224.0,-0.7605470834592633,18.981181051265413,Very low,4
01021,"Chilton, AL",Alabama,45500.0,-0.4988225939574129,27.74172615184945,Low,4
01023,"Choctaw, AL",Alabama,12525.0,-0.9883659179369931,12.134977287475666,Very low,4
01025,"Clarke, AL",Alabama,22802.0,-0.96619317959332,12.848799480856588,Very low,4
01027,"Clay, AL",Alabama,14188.0,-0.7979820587403328,17.65087605451006,Very low,4
01029,"Cleburne, AL",Alabama,15254.0,-0.5903440264338397,24.23750811161583,Low,4
01031,"Coffee, AL",Alabama,54231.0,-0.42055253990217256,31.27839065541856,Low,4
01033,"Colbert, AL",Alabama,57648.0,-0.40217061684764127,32.154445165476965,Low,4
01035,"Conecuh, AL",Alabama,11411.0,-1.4292796596460804,2.6606099935107075,Very low,4
01037,"Coosa, AL",Alabama,10323.0,-0.5516350859149702,25.665152498377676,Low,4
01039,"Covington, AL",Alabama,37647.0,-0.8015288794056458,17.52109020116807,Very low,4
01041,"Crenshaw, AL",Alabama,13144.0,-0.7523824976706436,19.240752757949384,Very low,4
01043,"Cullman, AL",Alabama,89463.0,-0.3257024417067437,35.88578844905905,Low,4
01045,"Dale, AL",Alabama,49516.0,-0.4627100026924665,29.29915639195328,Low,4
01047,"Dallas, AL",Alabama,37536.0,-1.3067861998623478,5.029201817001947,Very low,4
